Product name,Price,Discount,Date,Source
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-25,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-28,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-28,Amazon
Apple AirPods Pro (2nd Generation),26400.0,1.86,2022-10-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-10-31,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-01,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-02,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-03,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-05,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-06,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-07,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-08,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-09,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-10,Amazon
Apple AirPods Pro (2nd Generation),26500.0,1.49,2022-11-22,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-28,Amazon
Apple AirPods Pro (2nd Generation),26500.0,1.49,2022-11-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-28,Amazon
Apple AirPods Pro (2nd Generation),26500.0,1.49,2022-11-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-11-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-01,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-02,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-03,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-04,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-05,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-07,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-08,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-13,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-16,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-22,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-23,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-24,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-25,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-25,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-26,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-27,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-28,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-29,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-30,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-31,Amazon
Apple AirPods Pro (2nd Generation),26600.0,1.12,2022-12-31,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-12-31,Amazon
Apple AirPods Pro (2nd Generation),26900.0,0.0,2023-01-01,Amazon
